,Long Swap USDPLN,Short Swap USDPLN,1st Close,2nd Close,1st Exposure,2nd Exposure,Dzienny Profit,Long Swap USDNOK,Short Swap USDNOK,Daily P/L
2005-12-20,-2.4619995718261592e-06,1.1027095148078118e-06,6.7794,3.2334,112037.18030488752,-100000,1365.1541811592435,-2.428273550294294e-06,1.0876039050159239e-06,1365.1481549331215
2005-12-21,-1.7853392144507442e-06,6.277463904582553e-07,6.7817,3.2493,112037.18030488752,-100000,-450.5906663063074,-1.7608825128829258e-06,6.191471248355394e-07,-450.6004375585815
2005-12-22,-1.6278092837639121e-06,5.231219920485511e-07,6.7735,3.2512,112037.18030488752,-100000,-191.6115701200814,-1.605510526452078e-06,5.159559373629545e-07,-191.62203597116334
2005-12-23,-1.6278092837639121e-06,5.231219920485511e-07,6.7642,3.2496,112037.18030488752,-100000,-103.09087029214209,-1.605510526452078e-06,5.159559373629545e-07,-103.10136473237701
2005-12-26,-1.4071294559099402e-06,1.0231225700838935e-07,6.7755,3.2131,112037.18030488752,-100000,1311.8512438624607,-1.3878537099385714e-06,1.0091071924115114e-07,1311.8314790456982
2005-12-27,-3.580928995293658e-07,-7.645259938837936e-07,6.7706,3.2498,112037.18030488752,-100000,-1213.36119111267,-3.5318751734403206e-07,-7.540530350634677e-07,-1213.3905608428659
2005-12-28,-3.580928995293658e-07,-7.135575942915424e-07,6.7775,3.2687,112037.18030488752,-100000,-461.21578656686575,-3.5318751734403206e-07,-7.037828327259048e-07,-461.2434550343306
2005-12-29,-7.659313725490138e-07,-3.5612535612535795e-07,6.7489,3.2634,112037.18030488752,-100000,-307.7758329656599,-7.554391619661505e-07,-3.512469265893941e-07,-307.7992865740353
2005-12-30,-2.0793346129238604e-06,5.231219920485511e-07,6.7372,3.2709,112037.18030488752,-100000,-419.1831267965706,-2.050850577130383e-06,5.159559373629545e-07,-419.2012384815035
2006-01-02,-1.572327044025157e-06,4.6992481203007713e-07,6.7135,3.2509,112037.18030488752,-100000,214.3466244900052,-1.5507883173946753e-06,4.6348748583788426e-07,214.33519962705338
2006-01-03,-1.572327044025157e-06,4.6992481203007713e-07,6.6057,3.256,112037.18030488752,-100000,-1974.8051501131729,-1.5507883173946753e-06,4.6348748583788426e-07,-1974.8170199612068
2006-01-04,-1.572327044025157e-06,4.6992481203007713e-07,6.5582,3.1882,112037.18030488752,-100000,1285.5333960549146,-1.5507883173946753e-06,4.6348748583788426e-07,1285.521642624643
2006-01-05,-1.7786147729650617e-06,8.859703981655203e-07,6.5495,3.1518,112037.18030488752,-100000,1016.5496473636426,-1.7542501870340335e-06,8.738338173687325e-07,1016.5477487575795
2006-01-06,-1.4675052410901463e-06,3.132832080200493e-07,6.5192,3.1592,112037.18030488752,-100000,-770.8204758746178,-1.4474024295683637e-06,3.0899165722525416e-07,-770.8354339990696
2006-01-09,-1.4675052410901463e-06,2.610693400167088e-07,6.6037,3.1307,112037.18030488752,-100000,2398.369069340177,-1.4474024295683637e-06,2.5749304768771277e-07,2398.352851980764
2006-01-10,-1.4702793530770862e-06,2.0924879681942046e-07,6.635,3.1452,112037.18030488752,-100000,59.8108012763264,-1.450138540021236e-06,2.0638237494518184e-07,59.792967506197805
