,Open Bid_x,Open Bid_y,Open Ask_y,Short Swap USDPLN,Long Swap USDPLN
2005-01-01,2.23,6.4,6.6,0.003395061728395062,-0.003758169934640523
2005-01-02,2.23,6.4,6.6,0.003395061728395062,-0.003758169934640523
2005-01-03,2.16,6.46,6.66,0.0034827123195703257,-0.003955696202531646
2005-01-04,2.27,6.4,6.6,0.003358208955223881,-0.003678219503907577
2005-01-05,2.25,6.4,6.55,0.003451178451178452,-0.0036752136752136746
2005-01-06,2.23,6.4,6.55,0.003395061728395062,-0.0037151702786377707
2005-01-07,2.23,6.4,6.55,0.003395061728395062,-0.0037151702786377707
2005-01-08,2.26,6.45,6.65,0.003418163672654691,-0.0037406271301976836
2005-01-09,2.26,6.45,6.65,0.003418163672654691,-0.0037406271301976836
2005-01-10,2.23,6.44,6.64,0.0034848484848484856,-0.003792569659442724
2005-01-11,2.26,6.5,6.65,0.0034784784784784788,-0.0037406271301976836
2005-01-12,2.27,6.45,6.6,0.003493265993265994,-0.003678219503907577
2005-01-13,2.27,6.45,6.6,0.0033996683250414592,-0.003678219503907577
2005-01-14,2.24,6.5,6.63,0.0034784784784784788,-0.0037637174211248288
2005-01-15,2.25,6.0,6.5,0.003114478114478114,-0.0036324786324786317
2005-01-16,2.25,6.0,6.5,0.0031323877068557917,-0.0036324786324786317
2005-01-17,2.25,6.39,6.59,0.003368263473053892,-0.003709401709401709
2005-01-18,2.25,6.35,6.55,0.0033718206157965194,-0.0036752136752136746
2005-01-19,2.27,6.4,6.6,0.003358208955223881,-0.003678219503907577
2005-01-20,2.26,6.4,6.55,0.00337658017298736,-0.003655419222903886
2005-01-21,2.27,6.4,6.6,0.0034323598522994292,-0.003678219503907577
2005-01-22,2.27,6.35,6.55,0.0033718206157965194,-0.0036357458375807
2005-01-23,2.27,6.35,6.55,0.0033718206157965194,-0.0036357458375807
2005-01-24,2.3,6.35,6.55,0.0032626561472715314,-0.003577441077441078
2005-01-25,2.3,6.35,6.5,0.0033533533533533525,-0.003535353535353536
