,5.5367,22.3859,22.3815,22.5405,22.6007
2005-01-04,5.6131,22.5405,22.5246,22.9404,22.9877
2005-01-05,5.6302,22.9404,22.8251,22.9042,23.0171
2005-01-06,5.6558,22.9042,22.8824,22.9817,23.1136
2005-01-07,5.7137,22.9817,22.8348,23.2072,23.3104
2005-01-08,5.7137,22.9817,22.8348,23.2072,23.3104
2005-01-09,5.7137,22.9817,22.8348,23.2072,23.3104
2005-01-10,5.6979,23.2072,23.0185,23.0267,23.235
2005-01-11,5.6795,23.0267,22.9492,23.0924,23.1216
2005-01-12,5.6867,23.0924,22.8255,22.885,23.2714
2005-01-13,5.6796,22.8835,22.873,23.1842,23.209
2005-01-14,5.6984,23.1842,23.116,23.1717,23.3054
2005-01-15,5.6984,23.1842,23.116,23.1717,23.3054
2005-01-16,5.6984,23.1842,23.116,23.1717,23.3054
2005-01-17,5.7203,23.1717,23.1261,23.2599,23.3077
2005-01-18,5.7262,23.2591,23.2227,23.311,23.3715
2005-01-19,5.7402,23.311,23.0681,23.2628,23.3509
2005-01-20,5.7596,23.2628,23.2351,23.3966,23.4814
2005-01-21,5.7498,23.3966,23.1643,23.1979,23.4396
2005-01-22,5.7498,23.3966,23.1643,23.1979,23.4396
2005-01-23,5.7498,23.3966,23.1643,23.1979,23.4396
2005-01-24,5.723,23.1979,22.9537,23.1381,23.2068
2005-01-25,5.7505,23.1381,22.989,23.1634,23.2292
2005-01-26,5.739,23.1634,22.9193,22.9755,23.192
2005-01-27,5.7199,22.9755,22.8878,23.1558,23.2117
2005-01-28,5.7318,23.1558,23.0763,23.1501,23.2502
2005-01-29,5.7318,23.1558,23.0763,23.1501,23.2502
2005-01-30,5.7318,23.1558,23.0763,23.1501,23.2502
2005-01-31,5.7364,23.1501,23.0118,23.0407,23.2649
2005-02-01,5.724,23.0407,22.9272,22.9447,23.1156
2005-02-02,5.7226,22.9447,22.9184,23.0502,23.0591
2005-02-03,5.7531,23.0502,22.9864,23.1262,23.2065
2005-02-04,5.8046,23.1262,22.9318,23.3125,23.5108
2005-02-05,5.8046,23.1262,22.9318,23.3125,23.5108
2005-02-06,5.8046,23.1262,22.9318,23.3125,23.5108
2005-02-07,5.8464,23.3125,23.2158,23.3711,23.4215
