,5.5303,5.4779,5.5337,5.5106,3.0237
2005-01-04,5.5106,5.507,5.6101,5.602,3.1042
2005-01-05,5.602,5.5906,5.6282,5.609,3.1367
2005-01-06,5.609,5.6043,5.6538,5.6359,3.1319
2005-01-07,5.6359,5.6133,5.7107,5.6866,3.1409
2005-01-08,5.6359,5.6133,5.7107,5.6866,3.1409
2005-01-09,5.6359,5.6133,5.7107,5.6866,3.1409
2005-01-10,5.6866,5.6623,5.6959,5.6636,3.1329
2005-01-11,5.6636,5.6468,5.6775,5.6713,3.0988
2005-01-12,5.6713,5.5953,5.6847,5.6109,3.1083
2005-01-13,5.6113,5.6062,5.6761,5.6701,3.0919
2005-01-14,5.6701,5.6616,5.6964,5.672,3.1225
2005-01-15,5.6701,5.6616,5.6964,5.672,3.1225
2005-01-16,5.6701,5.6616,5.6964,5.672,3.1225
2005-01-17,5.672,5.6657,5.7183,5.7068,3.1163
2005-01-18,5.7068,5.689,5.7242,5.7098,3.1509
2005-01-19,5.7098,5.6698,5.7382,5.718,3.1463
2005-01-20,5.718,5.7112,5.7576,5.7418,3.1976
2005-01-21,5.7418,5.6933,5.7468,5.7036,3.1619
2005-01-22,5.7418,5.6933,5.7468,5.7036,3.1619
2005-01-23,5.7418,5.6933,5.7468,5.7036,3.1619
2005-01-24,5.7036,5.68,5.72,5.7133,3.12
2005-01-25,5.7133,5.6904,5.7485,5.7289,3.1479
2005-01-26,5.7289,5.6755,5.736,5.6891,3.1413
2005-01-27,5.6891,5.6689,5.7179,5.711,3.1204
2005-01-28,5.711,5.688,5.7298,5.7112,3.125
2005-01-29,5.711,5.688,5.7298,5.7112,3.125
2005-01-30,5.711,5.688,5.7298,5.7112,3.125
2005-01-31,5.7112,5.6966,5.7334,5.7002,3.1318
2005-02-01,5.7002,5.6842,5.722,5.6885,3.1169
2005-02-02,5.6885,5.682,5.7196,5.7147,3.1129
2005-02-03,5.7147,5.7083,5.7501,5.7372,3.0895
2005-02-04,5.7372,5.7058,5.8014,5.8009,3.0877
2005-02-05,5.7372,5.7058,5.8014,5.8009,3.0877
2005-02-06,5.7372,5.7058,5.8014,5.8009,3.0877
2005-02-07,5.8009,5.7853,5.8434,5.8306,3.1043
2005-02-08,5.8306,5.814,5.8429,5.8321,3.1384
2005-02-09,5.8321,5.8016,5.8398,5.8057,3.1535
2005-02-10,5.8057,5.7651,5.8405,5.7775,3.1426
2005-02-11,5.7775,5.7444,5.7915,5.7528,3.1381
