,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap USDDKK,Open Bid_x,Open Bid_y,Open Ask_y
2005-01-04,2.27,2.015,2.265,4.2473666326876056e-08,2.27,6.4,6.6
2005-01-05,2.25,2.07,2.22,2.5641025641025425e-07,2.25,6.4,6.55
2005-01-06,2.23,2.07,2.22,8.599931200550187e-08,2.23,6.4,6.55
2005-01-07,2.23,2.015,2.265,-3.009975920192673e-07,2.23,6.4,6.55
2005-01-08,2.26,2.08,2.18,6.81663258350371e-07,2.26,6.45,6.65
2005-01-09,2.26,2.05,2.2,5.112474437627782e-07,2.26,6.45,6.65
2005-01-10,2.23,2.015,2.265,-3.009975920192673e-07,2.23,6.44,6.64
2005-01-11,2.26,2.07,2.22,3.408316291751855e-07,2.26,6.5,6.65
2005-01-12,2.27,2.015,2.265,4.2473666326876056e-08,2.27,6.45,6.6
2005-01-13,2.27,2.07,2.22,4.247366632687729e-07,2.27,6.45,6.6
2005-01-14,2.24,2.015,2.265,-2.143347050754437e-07,2.24,6.5,6.63
2005-01-15,2.25,2.05,2.2,4.273504273504259e-07,2.25,6.0,6.5
2005-01-16,2.25,2.05,2.2,4.273504273504259e-07,2.25,6.0,6.5
2005-01-17,2.25,2.015,2.265,-1.2820512820513022e-07,2.25,6.39,6.59
2005-01-18,2.25,2.07,2.22,2.5641025641025425e-07,2.25,6.35,6.55
2005-01-19,2.27,2.015,2.265,4.2473666326876056e-08,2.27,6.4,6.6
2005-01-20,2.26,2.015,2.265,-4.260395364690128e-08,2.26,6.4,6.55
2005-01-21,2.27,2.015,2.265,4.2473666326876056e-08,2.27,6.4,6.6
2005-01-22,2.27,2.05,2.2,5.946313285762802e-07,2.27,6.35,6.55
2005-01-23,2.27,2.05,2.2,5.946313285762802e-07,2.27,6.35,6.55
2005-01-24,2.3,2.09,2.24,5.050505050505022e-07,2.3,6.35,6.55
2005-01-25,2.3,2.015,2.265,2.946127946127919e-07,2.3,6.35,6.5
2005-01-26,2.28,2.015,2.265,1.2703252032520184e-07,2.28,6.37,6.6
2005-01-27,2.4,2.12,2.27,1.0620915032679732e-06,2.4,6.45,6.6
2005-01-28,2.47,2.015,2.265,1.6410502721741924e-06,2.47,6.4,6.55
2005-01-29,2.49,2.015,2.265,1.7908309455587387e-06,2.49,6.4,6.65
2005-01-30,2.45,2.015,2.265,1.4895330112721435e-06,2.45,6.4,6.65
2005-01-31,2.46,2.015,2.265,1.565510597302502e-06,2.46,6.35,6.56
2005-02-01,2.51,2.07,2.22,2.2950300728078465e-06,2.51,6.35,6.55
2005-02-02,2.46,2.015,2.265,1.565510597302502e-06,2.46,6.36,6.51
2005-02-03,2.46,2.07,2.22,1.926782273603082e-06,2.46,6.45,6.6
2005-02-04,2.51,2.015,2.265,1.938904716682492e-06,2.51,6.4,6.6
2005-02-05,2.49,2.05,2.25,1.9102196752626576e-06,2.49,6.35,6.55
2005-02-06,2.48,2.05,2.25,1.8358876117496808e-06,2.48,6.35,6.55
2005-02-07,2.52,2.025,2.275,1.933396464646464e-06,2.52,6.41,6.6
2005-02-08,2.52,2.025,2.275,1.933396464646464e-06,2.52,6.47,6.6
2005-02-09,2.46,2.015,2.265,1.565510597302502e-06,2.46,6.38,6.58
2005-02-10,2.46,2.05,2.25,1.6859344894026976e-06,2.46,6.38,6.58
2005-02-11,2.51,2.07,2.27,1.8993352326685653e-06,2.51,6.38,6.58
2005-02-12,2.52,2.1,2.3,1.7361111111111112e-06,2.52,6.41,6.6
2005-02-13,2.47,2.1,2.3,1.3608709574127464e-06,2.47,6.41,6.6
2005-02-14,2.46,2.07,2.27,1.5253692999357723e-06,2.46,6.39,6.59
2005-02-15,2.46,2.025,2.275,1.4852280025690428e-06,2.46,6.35,6.5
2005-02-16,2.51,2.025,2.275,1.859765748654636e-06,2.51,6.4,6.57
2005-02-17,2.52,2.06,2.21,2.4463383838383854e-06,2.52,6.38,6.58
2005-02-18,2.48,2.025,2.275,1.6363346104725411e-06,2.48,6.35,6.5
2005-02-19,2.51,2.015,2.265,1.938904716682492e-06,2.51,6.35,6.55
2005-02-20,2.51,2.015,2.265,1.938904716682492e-06,2.51,6.35,6.55
2005-02-21,2.47,2.015,2.265,1.6410502721741924e-06,2.47,6.28,6.58
2005-02-22,2.49,2.08,2.23,2.069404648201212e-06,2.49,6.2,6.35
2005-02-23,2.51,2.06,2.26,1.9784742006964243e-06,2.51,6.25,6.45
2005-02-24,2.48,2.05,2.25,1.8358876117496808e-06,2.48,6.25,6.45
2005-02-25,2.52,2.11,2.31,1.6571969696969706e-06,2.52,6.25,6.4
2005-02-26,2.5,2.1,2.2,2.3809523809523782e-06,2.5,6.05,6.25
2005-02-27,2.5,2.07,2.22,2.222222222222221e-06,2.5,6.05,6.25
2005-02-28,2.49,2.015,2.265,1.7908309455587387e-06,2.49,6.1,6.3
2005-03-01,2.51,2.08,2.23,2.215891104779991e-06,2.51,6.15,6.55
2005-03-02,2.47,2.07,2.22,2.001280819724625e-06,2.47,6.21,6.41
2005-03-03,2.47,2.04,2.24,1.8411783541466524e-06,2.47,6.25,6.4
2005-03-04,2.52,2.04,2.24,2.2095959595959574e-06,2.52,6.25,6.46
2005-03-05,2.52,2.04,2.24,2.2095959595959574e-06,2.52,6.45,6.65
2005-03-06,2.48,2.04,2.24,1.915708812260534e-06,2.48,6.45,6.65
2005-03-07,2.52,2.015,2.265,2.0123106060606047e-06,2.52,6.45,6.65
2005-03-08,2.47,2.06,2.21,2.0813320525136112e-06,2.47,6.5,6.7
2005-03-09,2.48,2.04,2.19,2.314814814814816e-06,2.48,6.4,6.55
2005-03-10,2.53,2.015,2.265,2.085300598048472e-06,2.53,6.38,6.58
2005-03-11,2.5,2.12,2.22,2.222222222222221e-06,2.5,6.32,6.52
2005-03-12,2.56,2.12,2.22,2.652933832709113e-06,2.56,6.37,6.57
2005-03-13,2.58,2.12,2.22,2.793296089385475e-06,2.58,6.37,6.57
2005-03-14,2.59,2.07,2.22,2.8628907458991e-06,2.59,6.36,6.56
2005-03-15,2.63,2.07,2.22,3.1374349556167718e-06,2.63,6.3,6.57
2005-03-16,2.66,2.015,2.265,2.997874924104431e-06,2.66,6.35,6.55
2005-03-17,2.73,2.13,2.23,3.723562704795949e-06,2.73,6.37,6.57
2005-03-18,2.7,2.015,2.265,3.2657657657657664e-06,2.7,6.35,6.6
2005-03-19,2.71,2.07,2.17,4.043126684636119e-06,2.71,6.35,6.5
2005-03-20,2.73,2.04,2.19,4.021447721179624e-06,2.73,6.35,6.5
2005-03-21,2.72,2.015,2.265,3.397550776583035e-06,2.72,6.31,6.55
2005-03-22,2.77,2.015,2.265,3.720895962275271e-06,2.77,6.35,6.5
2005-03-23,2.78,2.015,2.265,3.784538506760727e-06,2.78,6.27,6.47
2005-03-24,2.77,2.015,2.265,3.720895962275271e-06,2.77,6.3,6.5
2005-03-25,2.74,2.07,2.22,3.86215092097445e-06,2.74,6.15,6.3
2005-03-26,2.75,2.07,2.22,3.9259259259259255e-06,2.75,6.0,6.4
2005-03-27,2.75,2.07,2.22,3.9259259259259255e-06,2.75,6.0,6.4
2005-03-28,2.74,2.07,2.22,3.86215092097445e-06,2.74,6.0,6.4
2005-03-29,2.78,2.015,2.265,3.784538506760727e-06,2.78,5.9,6.3
2005-03-30,2.72,2.015,2.265,3.397550776583035e-06,2.72,6.0,6.15
2005-03-31,2.72,2.14,2.24,3.5842293906810035e-06,2.72,5.9,6.15
2005-04-01,2.78,2.015,2.265,3.784538506760727e-06,2.78,6.0,6.2
2005-04-02,2.76,2.08,2.18,4.284869976359336e-06,2.76,5.95,6.15
2005-04-03,2.76,2.015,2.265,3.6569148936170176e-06,2.76,5.95,6.15
2005-04-04,2.74,2.015,2.265,3.5279263220439704e-06,2.74,5.96,6.16
2005-04-05,2.77,2.07,2.22,4.052460949012673e-06,2.77,5.95,6.1
2005-04-06,2.76,2.07,2.22,3.989361702127656e-06,2.76,5.97,6.17
2005-04-07,2.69,2.015,2.265,3.1993375489310424e-06,2.69,5.95,6.1
2005-04-08,2.7,2.08,2.23,3.52852852852853e-06,2.7,5.75,6.05
2005-04-09,2.76,2.12,2.22,3.989361702127656e-06,2.76,5.75,6.05
2005-04-10,2.76,2.12,2.22,3.989361702127656e-06,2.76,5.75,6.05
2005-04-11,2.77,2.015,2.265,3.720895962275271e-06,2.77,5.8,6.0
2005-04-12,2.74,2.08,2.23,3.787878787878791e-06,2.74,5.8,6.05
2005-04-13,2.72,2.1,2.25,3.509557945041816e-06,2.72,5.61,6.0
2005-04-14,2.73,2.015,2.265,3.462913315460232e-06,2.73,5.81,6.01
2005-04-15,2.8,2.07,2.22,4.239766081871343e-06,2.8,5.75,6.0
2005-04-16,2.77,2.015,2.265,3.720895962275271e-06,2.77,5.8,6.2
2005-04-17,2.77,2.015,2.265,3.720895962275271e-06,2.77,5.8,6.2
2005-04-18,2.73,2.015,2.265,3.462913315460232e-06,2.73,5.75,6.08
2005-04-19,2.72,2.015,2.265,3.397550776583035e-06,2.72,6.05,6.25
2005-04-20,2.76,2.09,2.24,3.841607565011819e-06,2.76,5.91,6.21
2005-04-21,2.8,2.1,2.25,4.020467836257311e-06,2.8,6.06,6.26
2005-04-22,2.84,2.1,2.25,4.267939814814813e-06,2.84,5.82,6.04
2005-04-23,2.86,2.1,2.25,4.3897524467472656e-06,2.86,5.77,5.99
2005-04-24,2.86,2.1,2.25,4.3897524467472656e-06,2.86,5.77,5.99
2005-04-25,2.9,2.015,2.265,4.522792022792022e-06,2.9,5.75,5.95
2005-04-26,2.9,2.12,2.27,4.487179487179487e-06,2.9,5.75,5.9
2005-04-27,2.95,2.0,2.25,4.9226441631504935e-06,2.95,5.6,5.9
2005-04-28,2.99,1.995,2.245,5.186577554998606e-06,2.99,5.35,5.6
2005-04-29,3.01,2.13,2.23,5.403158769742311e-06,3.01,5.4,5.59
2005-04-30,3.01,2.13,2.23,5.403158769742311e-06,3.01,5.3,5.7
2005-05-01,3.01,2.13,2.23,5.403158769742311e-06,3.01,5.3,5.7
2005-05-02,3.03,1.995,2.245,5.4108078301626665e-06,3.03,5.4,5.6
2005-05-03,2.98,2.1,2.25,5.094919039642657e-06,2.98,5.23,5.63
2005-05-04,3.01,2.1,2.25,5.264616237184815e-06,3.01,5.39,5.59
2005-05-05,2.97,1.995,2.245,5.072767982087883e-06,2.97,5.35,5.55
2005-05-06,2.94,1.995,2.245,4.89988719684151e-06,2.94,5.38,5.58
2005-05-07,2.99,1.995,2.245,5.186577554998606e-06,2.99,5.45,5.85
2005-05-08,2.99,1.995,2.245,5.186577554998606e-06,2.99,5.45,5.85
2005-05-09,3.02,1.995,2.245,5.355168601437254e-06,3.02,5.4,5.6
2005-05-10,2.98,2.12,2.22,5.304299274148519e-06,2.98,5.4,5.55
2005-05-11,2.96,1.995,2.245,5.015432098765429e-06,2.96,5.44,5.64
2005-05-12,2.98,1.995,2.245,5.1298157453936326e-06,2.98,5.44,5.64
2005-05-13,2.95,2.07,2.22,5.133614627285513e-06,2.95,5.43,5.63
2005-05-14,2.98,1.995,2.245,5.1298157453936326e-06,2.98,5.25,5.65
2005-05-15,2.98,1.995,2.245,5.1298157453936326e-06,2.98,5.25,5.65
2005-05-16,2.93,1.995,2.245,4.841673734803505e-06,2.93,5.4,5.6
2005-05-17,2.95,1.995,2.245,4.957805907172998e-06,2.95,5.45,5.6
2005-05-18,3.0,1.995,2.245,5.243055555555555e-06,3.0,5.4,5.6
2005-05-19,2.98,2.1,2.25,5.094919039642657e-06,2.98,5.4,5.6
2005-05-20,2.98,2.07,2.22,5.304299274148519e-06,2.98,5.4,5.55
2005-05-21,2.96,2.07,2.22,5.190796857463524e-06,2.96,5.3,5.55
2005-05-22,2.96,2.07,2.22,5.190796857463524e-06,2.96,5.3,5.55
2005-05-23,2.96,2.08,2.23,5.120650953984287e-06,2.96,5.25,5.55
2005-05-24,2.98,2.07,2.22,5.304299274148519e-06,2.98,5.3,5.55
2005-05-25,2.95,2.07,2.22,5.133614627285513e-06,2.95,5.3,5.45
2005-05-26,2.99,2.07,2.22,5.360623781676414e-06,2.99,5.35,5.55
2005-05-27,2.98,1.995,2.245,5.1298157453936326e-06,2.98,5.35,5.55
2005-05-28,3.01,1.995,2.245,5.299251870324189e-06,3.01,5.48,5.63
2005-05-29,3.01,1.995,2.245,5.299251870324189e-06,3.01,5.48,5.63
2005-05-30,2.95,1.995,2.245,4.957805907172998e-06,2.95,5.36,5.56
2005-05-31,3.01,2.09,2.24,5.333887503463561e-06,3.01,5.35,5.5
2005-06-01,3.0,2.05,2.2,5.555555555555554e-06,3.0,5.38,5.58
2005-06-02,3.01,2.08,2.23,5.403158769742311e-06,3.01,5.3,5.5
2005-06-03,2.97,2.08,2.23,5.177721802406942e-06,2.97,5.36,5.56
2005-06-04,3.0,1.995,2.245,5.243055555555555e-06,3.0,5.43,5.63
2005-06-05,2.97,1.995,2.245,5.072767982087883e-06,2.97,5.43,5.63
2005-06-06,3.01,1.995,2.245,5.299251870324189e-06,3.01,5.42,5.65
2005-06-07,2.98,2.09,2.24,5.16471245114461e-06,2.98,5.4,5.56
2005-06-08,2.98,2.09,2.24,5.16471245114461e-06,2.98,5.41,5.55
2005-06-09,2.98,2.09,2.24,5.16471245114461e-06,2.98,5.3,5.5
2005-06-10,2.95,2.1,2.25,4.9226441631504935e-06,2.95,5.36,5.56
2005-06-11,2.97,2.09,2.24,5.1077525888609006e-06,2.97,5.24,5.62
2005-06-12,2.97,2.09,2.24,5.1077525888609006e-06,2.97,5.24,5.62
2005-06-13,2.95,2.07,2.22,5.133614627285513e-06,2.95,5.4,5.6
2005-06-14,2.99,1.985,2.235,5.256196045669733e-06,2.99,5.33,5.53
2005-06-15,3.0,1.985,2.235,5.3125e-06,3.0,5.33,5.53
2005-06-16,3.0,2.1,2.25,5.208333333333333e-06,3.0,5.35,5.55
2005-06-17,3.01,2.09,2.24,5.333887503463561e-06,3.01,5.35,5.55
2005-06-18,3.02,2.09,2.19,5.735212824765061e-06,3.02,5.2,5.58
2005-06-19,3.02,2.09,2.19,5.735212824765061e-06,3.02,5.2,5.58
2005-06-20,3.03,1.985,2.235,5.479735318444993e-06,3.03,5.3,5.5
2005-06-21,3.05,2.05,2.2,5.829903978052124e-06,3.05,5.25,5.45
2005-06-22,3.12,2.07,2.22,6.067961165048544e-06,3.12,5.22,5.42
2005-06-23,3.2,2.09,2.24,6.349206349206348e-06,3.2,5.25,5.45
2005-06-24,3.22,2.07,2.22,6.5824117956819415e-06,3.22,5.25,5.41
2005-06-25,3.25,2.05,2.3,6.209150326797388e-06,3.25,5.0,5.4
2005-06-26,3.25,2.05,2.3,6.209150326797388e-06,3.25,5.0,5.4
2005-06-27,3.27,2.07,2.22,6.830601092896171e-06,3.27,5.0,5.2
2005-06-28,3.21,2.07,2.22,6.532066508313536e-06,3.21,5.0,5.2
2005-06-29,3.26,2.09,2.24,6.651017214397494e-06,3.26,4.9,5.18
2005-06-30,3.22,1.98,2.23,6.5165876777251225e-06,3.22,4.85,5.1
2005-07-01,3.3,2.08,2.23,6.912144702842377e-06,3.3,4.87,5.07
2005-07-02,3.25,1.98,2.23,6.666666666666667e-06,3.25,4.79,5.17
2005-07-03,3.26,1.98,2.23,6.716223265519039e-06,3.26,4.79,5.17
2005-07-04,3.24,1.98,2.23,6.616876310272539e-06,3.24,4.81,5.05
2005-07-05,3.22,2.09,2.24,6.450763559768301e-06,3.22,4.81,5.05
2005-07-06,3.23,1.98,2.23,6.566850538481748e-06,3.23,4.89,5.1
2005-07-07,3.22,2.08,2.23,6.5165876777251225e-06,3.22,4.86,5.06
2005-07-08,3.2,2.08,2.23,6.415343915343918e-06,3.2,4.86,5.06
2005-07-09,3.26,1.98,2.23,6.716223265519039e-06,3.26,4.85,5.05
2005-07-10,3.22,1.98,2.23,6.5165876777251225e-06,3.22,4.85,5.05
2005-07-11,3.24,1.98,2.23,6.616876310272539e-06,3.24,4.86,5.05
