,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap USDNOK,Open Bid_x,Open Bid_y,Open Ask_y
2005-01-04,2.27,1.6,1.95,2.718314644920148e-06,2.27,6.4,6.6
2005-01-05,2.25,1.71,1.91,2.905982905982904e-06,2.25,6.4,6.55
2005-01-06,2.23,1.64,1.96,2.321981424148606e-06,2.23,6.4,6.55
2005-01-07,2.23,1.63,1.98,2.1499828001375997e-06,2.23,6.4,6.55
2005-01-08,2.26,1.74,1.84,3.578732106339469e-06,2.26,6.45,6.65
2005-01-09,2.26,1.69,1.89,3.1526925698704843e-06,2.26,6.45,6.65
2005-01-10,2.23,1.64,1.97,2.235982112143104e-06,2.23,6.44,6.64
2005-01-11,2.26,1.69,1.89,3.1526925698704843e-06,2.26,6.5,6.65
2005-01-12,2.27,1.67,1.87,3.397893306150186e-06,2.27,6.45,6.6
2005-01-13,2.27,1.61,1.96,2.6333673122663957e-06,2.27,6.45,6.6
2005-01-14,2.24,1.61,1.96,2.4005486968449947e-06,2.24,6.5,6.63
2005-01-15,2.25,1.65,1.8,3.846153846153848e-06,2.25,6.0,6.5
2005-01-16,2.25,1.65,1.85,3.418803418803419e-06,2.25,6.0,6.5
2005-01-17,2.25,1.61,1.96,2.4786324786324784e-06,2.25,6.39,6.59
2005-01-18,2.25,1.67,1.87,3.247863247863248e-06,2.25,6.35,6.55
2005-01-19,2.27,1.6,1.95,2.718314644920148e-06,2.27,6.4,6.6
2005-01-20,2.26,1.6,1.92,2.897068847989092e-06,2.26,6.4,6.55
2005-01-21,2.27,1.58,1.92,2.973156642881413e-06,2.27,6.4,6.6
2005-01-22,2.27,1.65,1.8,3.992524634726473e-06,2.27,6.35,6.55
2005-01-23,2.27,1.65,1.85,3.567787971457696e-06,2.27,6.35,6.55
2005-01-24,2.3,1.58,1.92,3.1986531986531977e-06,2.3,6.35,6.55
2005-01-25,2.3,1.67,1.87,3.619528619528618e-06,2.3,6.35,6.5
2005-01-26,2.28,1.7,1.9,3.218157181571816e-06,2.28,6.37,6.6
2005-01-27,2.4,1.7,1.9,4.084967320261438e-06,2.4,6.45,6.6
2005-01-28,2.47,1.56,1.9,4.562920268972145e-06,2.47,6.4,6.55
2005-01-29,2.49,1.61,1.9,4.695956701687364e-06,2.49,6.4,6.65
2005-01-30,2.45,1.61,1.9,4.428341384863125e-06,2.45,6.4,6.65
2005-01-31,2.46,1.61,1.91,4.4155427103403984e-06,2.46,6.35,6.56
2005-02-01,2.51,1.67,1.87,5.064893953782839e-06,2.51,6.35,6.55
2005-02-02,2.46,1.57,1.92,4.335260115606936e-06,2.46,6.36,6.51
2005-02-03,2.46,1.58,1.89,4.576107899807323e-06,2.46,6.45,6.6
2005-02-04,2.51,1.6,1.9,4.827477049699272e-06,2.51,6.4,6.6
2005-02-05,2.49,1.6,1.75,5.889843998726521e-06,2.49,6.35,6.55
2005-02-06,2.48,1.6,1.8,5.427841634738189e-06,2.48,6.35,6.55
2005-02-07,2.52,1.65,1.85,5.287247474747474e-06,2.52,6.41,6.6
2005-02-08,2.52,1.61,1.94,4.577020202020202e-06,2.52,6.47,6.6
2005-02-09,2.46,1.61,1.89,4.576107899807323e-06,2.46,6.38,6.58
2005-02-10,2.46,1.62,1.77,5.539499036608865e-06,2.46,6.38,6.58
2005-02-11,2.51,1.63,1.78,5.777144666033551e-06,2.51,6.38,6.58
2005-02-12,2.52,1.68,1.83,5.445075757575758e-06,2.52,6.41,6.6
2005-02-13,2.47,1.68,1.83,5.123278898495037e-06,2.47,6.41,6.6
2005-02-14,2.46,1.63,1.78,5.459216441875399e-06,2.46,6.39,6.59
2005-02-15,2.46,1.6,1.88,4.656390494540783e-06,2.46,6.35,6.5
2005-02-16,2.51,1.64,1.84,5.302310857866412e-06,2.51,6.4,6.57
2005-02-17,2.52,1.55,1.89,4.971590909090912e-06,2.52,6.38,6.58
2005-02-18,2.48,1.63,1.83,5.18837803320562e-06,2.48,6.35,6.5
2005-02-19,2.51,1.62,1.82,5.4605887939221234e-06,2.51,6.35,6.55
2005-02-20,2.51,1.62,1.82,5.4605887939221234e-06,2.51,6.35,6.55
2005-02-21,2.47,1.55,1.89,4.642971501761131e-06,2.47,6.28,6.58
2005-02-22,2.49,1.63,1.83,5.253104106972303e-06,2.49,6.2,6.35
2005-02-23,2.51,1.67,1.87,5.064893953782839e-06,2.51,6.25,6.45
2005-02-24,2.48,1.68,1.88,4.789272030651342e-06,2.48,6.25,6.45
2005-02-25,2.52,1.69,1.89,4.971590909090912e-06,2.52,6.25,6.4
2005-02-26,2.5,1.58,1.84,5.238095238095239e-06,2.5,6.05,6.25
2005-02-27,2.5,1.66,1.86,5.079365079365076e-06,2.5,6.05,6.25
2005-02-28,2.49,1.57,1.91,4.616364215218084e-06,2.49,6.1,6.3
2005-03-01,2.51,1.57,1.92,4.669199113643558e-06,2.51,6.15,6.55
2005-03-02,2.47,1.64,1.84,5.043227665706054e-06,2.47,6.21,6.41
2005-03-03,2.47,1.6,1.92,4.402817803394175e-06,2.47,6.25,6.4
2005-03-04,2.52,1.58,1.92,4.734848484848487e-06,2.52,6.25,6.46
2005-03-05,2.52,1.57,1.84,5.366161616161617e-06,2.52,6.45,6.65
2005-03-06,2.48,1.57,1.84,5.108556832694763e-06,2.48,6.45,6.65
2005-03-07,2.52,1.67,1.87,5.129419191919189e-06,2.52,6.45,6.65
2005-03-08,2.47,1.67,1.87,4.803073967339098e-06,2.47,6.5,6.7
2005-03-09,2.48,1.55,1.9,4.629629629629631e-06,2.48,6.4,6.55
2005-03-10,2.53,1.68,1.88,5.114888259364181e-06,2.53,6.38,6.58
2005-03-11,2.5,1.67,1.87,4.999999999999998e-06,2.5,6.32,6.52
2005-03-12,2.56,1.65,1.91,5.07178526841448e-06,2.56,6.37,6.57
2005-03-13,2.58,1.65,1.91,5.198634388578523e-06,2.58,6.37,6.57
2005-03-14,2.59,1.68,1.88,5.493655215103683e-06,2.59,6.36,6.56
2005-03-15,2.63,1.7,1.9,5.5861646770737694e-06,2.63,6.3,6.57
2005-03-16,2.66,1.58,1.84,6.223436551305404e-06,2.66,6.35,6.55
2005-03-17,2.73,1.66,1.98,5.585344057193924e-06,2.73,6.37,6.57
2005-03-18,2.7,1.62,1.97,5.480480480480483e-06,2.7,6.35,6.6
2005-03-19,2.71,1.78,1.88,6.214435459718479e-06,2.71,6.35,6.5
2005-03-20,2.73,1.73,1.93,5.957700327673519e-06,2.73,6.35,6.5
2005-03-21,2.72,1.69,2.04,5.0776583034647565e-06,2.72,6.31,6.55
2005-03-22,2.77,1.65,2.0,5.673445328617744e-06,2.77,6.35,6.5
2005-03-23,2.78,1.65,2.0,5.731922398589063e-06,2.78,6.27,6.47
2005-03-24,2.77,1.75,1.95,6.041850869437075e-06,2.77,6.3,6.5
2005-03-25,2.74,1.73,1.93,6.016042780748666e-06,2.74,6.15,6.3
2005-03-26,2.75,1.75,1.9,6.2962962962962975e-06,2.75,6.0,6.4
2005-03-27,2.75,1.75,1.9,6.2962962962962975e-06,2.75,6.0,6.4
2005-03-28,2.74,1.73,1.93,6.016042780748666e-06,2.74,6.0,6.4
2005-03-29,2.78,1.75,1.95,6.099353321575543e-06,2.78,5.9,6.3
2005-03-30,2.72,1.68,2.03,5.152329749103944e-06,2.72,6.0,6.15
2005-03-31,2.72,1.69,2.04,5.0776583034647565e-06,2.72,5.9,6.15
2005-04-01,2.78,1.68,2.08,5.1440329218106975e-06,2.78,6.0,6.2
2005-04-02,2.76,1.83,1.93,6.131796690307331e-06,2.76,5.95,6.15
2005-04-03,2.76,1.83,1.93,6.131796690307331e-06,2.76,5.95,6.15
2005-04-04,2.74,1.7,2.04,5.199049316696377e-06,2.74,5.96,6.16
