,Open Bid_x,Open Bid_x,Open2,Short Swap USDPLN,2.9889
2005-01-04,2.27,2.27,6.4,3.358208955223881e-05,3.0115
2005-01-05,2.25,2.25,6.4,3.451178451178452e-05,3.0866
2005-01-06,2.23,2.23,6.4,3.3950617283950624e-05,3.0885
2005-01-07,2.23,2.23,6.4,3.3950617283950624e-05,3.0806
2005-01-08,2.26,2.26,6.45,3.418163672654691e-05,3.0806
2005-01-09,2.26,2.26,6.45,3.418163672654691e-05,3.0806
2005-01-10,2.23,2.23,6.44,3.4848484848484856e-05,3.0938
2005-01-11,2.26,2.26,6.5,3.478478478478479e-05,3.0807
2005-01-12,2.27,2.27,6.45,3.493265993265994e-05,3.0548
2005-01-13,2.27,2.27,6.45,3.399668325041459e-05,3.0577
2005-01-14,2.24,2.24,6.5,3.478478478478479e-05,3.08
2005-01-15,2.25,2.25,6.0,3.114478114478114e-05,3.08
2005-01-16,2.25,2.25,6.0,3.1323877068557915e-05,3.08
2005-01-17,2.25,2.25,6.39,3.368263473053892e-05,3.0897
2005-01-18,2.25,2.25,6.35,3.3718206157965195e-05,3.1059
2005-01-19,2.27,2.27,6.4,3.358208955223881e-05,3.1107
2005-01-20,2.26,2.26,6.4,3.37658017298736e-05,3.1222
2005-01-21,2.27,2.27,6.4,3.432359852299429e-05,3.0994
2005-01-22,2.27,2.27,6.35,3.3718206157965195e-05,3.0994
2005-01-23,2.27,2.27,6.35,3.3718206157965195e-05,3.0994
2005-01-24,2.3,2.3,6.35,3.2626561472715315e-05,3.104
2005-01-25,2.3,2.3,6.35,3.353353353353353e-05,3.106
2005-01-26,2.28,2.28,6.37,3.297065611605671e-05,3.0964
2005-01-27,2.4,2.4,6.45,3.238049095607236e-05,3.0929
2005-01-28,2.47,2.47,6.4,3.0125195618153373e-05,3.0781
2005-01-29,2.49,2.49,6.4,2.9800809212573925e-05,3.0781
2005-01-30,2.45,2.45,6.4,3.0125195618153373e-05,3.0781
2005-01-31,2.46,2.46,6.35,2.9572409488139825e-05,3.1017
2005-02-01,2.51,2.51,6.35,2.989642184557438e-05,3.0978
2005-02-02,2.46,2.46,6.36,2.9650436953807744e-05,3.0745
2005-02-03,2.46,2.46,6.45,3.035268414481898e-05,3.0533
2005-02-04,2.51,2.51,6.4,3.02887633396108e-05,3.0491
2005-02-05,2.49,2.49,6.35,3.022411616161616e-05,3.0491
2005-02-06,2.48,2.48,6.35,2.9252017380509e-05,3.0491
2005-02-07,2.52,2.52,6.41,3.0367231638418085e-05,3.0737
2005-02-08,2.52,2.52,6.47,2.9861111111111103e-05,3.0933
2005-02-09,2.46,2.46,6.38,2.9806491885143567e-05,3.1127
2005-02-10,2.46,2.46,6.38,2.9806491885143567e-05,3.102
2005-02-11,2.51,2.51,6.38,2.9325286289074595e-05,3.0869
2005-02-12,2.52,2.52,6.41,3.0203442879499223e-05,3.0869
2005-02-13,2.47,2.47,6.41,2.987861811391224e-05,3.0869
2005-02-14,2.46,2.46,6.39,2.9884519350811475e-05,3.0771
2005-02-15,2.46,2.46,6.35,2.9572409488139825e-05,3.0435
2005-02-16,2.51,2.51,6.4,3.02887633396108e-05,3.0384
2005-02-17,2.52,2.52,6.38,2.9968701095461656e-05,3.0437
2005-02-18,2.48,2.48,6.35,2.9093160012380076e-05,3.0258
2005-02-19,2.51,2.51,6.35,2.9093160012380076e-05,3.0258
2005-02-20,2.51,2.51,6.35,2.9572409488139825e-05,3.0258
2005-02-21,2.47,2.47,6.28,2.886710239651417e-05,3.0266
2005-02-22,2.49,2.49,6.2,2.793252862890746e-05,2.9777
2005-02-23,2.51,2.51,6.25,2.8319405756731665e-05,2.966
2005-02-24,2.48,2.48,6.25,2.8476101800124143e-05,2.9639
2005-02-25,2.52,2.52,6.25,2.816358024691358e-05,2.9259
2005-02-26,2.5,2.5,6.05,2.7386541471048515e-05,2.9259
2005-02-27,2.5,2.5,6.05,2.754237288135593e-05,2.9259
2005-02-28,2.49,2.49,6.1,2.7158774373259048e-05,2.9302
2005-03-01,2.51,2.51,6.15,2.754565150108326e-05,2.928
2005-03-02,2.47,2.47,6.21,2.832244008714597e-05,2.9647
2005-03-03,2.47,2.47,6.25,2.8633675692499214e-05,2.9646
2005-03-04,2.52,2.52,6.25,2.911173885750157e-05,2.9182
2005-03-05,2.52,2.52,6.45,3.06811048336472e-05,2.9182
2005-03-06,2.48,2.48,6.45,3.002793296089385e-05,2.9182
2005-03-07,2.52,2.52,6.45,3.035268414481898e-05,2.9286
2005-03-08,2.47,2.47,6.5,3.057889822595705e-05,2.9062
2005-03-09,2.48,2.48,6.4,2.963997517070143e-05,2.9006
2005-03-10,2.53,2.53,6.38,2.9968701095461656e-05,2.9007
2005-03-11,2.5,2.5,6.32,2.87037037037037e-05,2.9091
2005-03-12,2.56,2.56,6.37,2.9089506172839505e-05,2.9091
2005-03-13,2.58,2.58,6.37,2.9089506172839505e-05,2.9091
2005-03-14,2.59,2.59,6.36,2.869858809085329e-05,2.9291
2005-03-15,2.63,2.63,6.3,2.762598664238008e-05,2.9843
2005-03-16,2.66,2.66,6.35,2.6521867612293145e-05,3.0199
2005-03-17,2.73,2.73,6.37,2.666962174940899e-05,3.0361
2005-03-18,2.7,2.7,6.35,2.5950292397660816e-05,3.0063
2005-03-19,2.71,2.71,6.35,2.58092738407699e-05,3.0063
2005-03-20,2.73,2.73,6.35,2.5950292397660816e-05,3.0063
2005-03-21,2.72,2.72,6.31,2.5378126817917397e-05,3.0345
2005-03-22,2.77,2.77,6.35,2.525252525252525e-05,3.0682
2005-03-23,2.78,2.78,6.27,2.5226013414989787e-05,3.1294
2005-03-24,2.77,2.77,6.3,2.489177489177489e-05,3.158
2005-03-25,2.74,2.74,6.15,2.3943865740740745e-05,3.1596
2005-03-26,2.75,2.75,6.0,2.272727272727273e-05,3.1596
2005-03-27,2.75,2.75,6.0,2.272727272727273e-05,3.1596
2005-03-28,2.74,2.74,6.0,2.28587962962963e-05,3.1819
2005-03-29,2.78,2.78,5.9,2.1876799078871623e-05,3.1912
2005-03-30,2.72,2.72,6.0,2.3123909249563704e-05,3.1542
2005-03-31,2.72,2.72,5.9,2.239674229203025e-05,3.1325
2005-04-01,2.78,2.78,6.0,2.259643062751871e-05,3.1071
2005-04-02,2.76,2.76,5.95,2.2497106481481488e-05,3.1071
2005-04-03,2.76,2.76,5.95,2.2497106481481488e-05,3.1071
2005-04-04,2.74,2.74,5.96,2.2569444444444443e-05,3.1738
2005-04-05,2.77,2.77,5.95,2.2366522366522368e-05,3.182
2005-04-06,2.76,2.76,5.97,2.2905759162303664e-05,3.1784
2005-04-07,2.69,2.69,5.95,2.316036352975667e-05,3.1618
2005-04-08,2.7,2.7,5.75,2.156432748538012e-05,3.1494
2005-04-09,2.76,2.76,5.75,2.105034722222222e-05,3.1494
2005-04-10,2.76,2.76,5.75,2.105034722222222e-05,3.1494
2005-04-11,2.77,2.77,5.8,2.1284271284271284e-05,3.1393
2005-04-12,2.74,2.74,5.8,2.1412037037037036e-05,3.1303
2005-04-13,2.72,2.72,5.61,2.028795811518325e-05,3.1397
2005-04-14,2.73,2.73,5.81,2.1612996808819263e-05,3.1613
2005-04-15,2.8,2.8,5.75,2.117783579924572e-05,3.1815
2005-04-16,2.77,2.77,5.8,2.1284271284271284e-05,3.1815
2005-04-17,2.77,2.77,5.8,2.1284271284271284e-05,3.1815
2005-04-18,2.73,2.73,5.75,2.117783579924572e-05,3.1985
2005-04-19,2.72,2.72,6.05,2.3487492728330424e-05,3.1914
2005-04-20,2.76,2.76,5.91,2.220775462962963e-05,3.1725
2005-04-21,2.8,2.8,6.06,2.2507122507122505e-05,3.1701
2005-04-22,2.84,2.84,5.82,2.117427505024405e-05,3.1798
2005-04-23,2.86,2.86,5.77,2.03182722364308e-05,3.1798
2005-04-24,2.86,2.86,5.77,2.044159544159544e-05,3.1798
2005-04-25,2.9,2.9,5.75,1.9932145886344354e-05,3.1941
2005-04-26,2.9,2.9,5.75,1.9097222222222225e-05,3.214
2005-04-27,2.95,2.95,5.6,1.8285873813512e-05,3.2318
2005-04-28,2.99,2.99,5.35,1.610005527915976e-05,3.2741
2005-04-29,3.01,3.01,5.4,1.622662266226623e-05,3.2884
